,user_id,song_id,play_count,title,release,artist,year
440,27018,2234,1,Your Touch,Magic Potion,The Black Keys,2006
444,27018,2389,1,New York_ I Love You But You're Bringing Me Down,Sound Of Silver,LCD Soundsystem,2007
451,27018,2557,4,Too Much Love,LCD Soundsystem,LCD Soundsystem,2005
473,27018,3232,2,Life In Technicolor ii,Viva La Vida - Prospekt's March Edition,Coldplay,2008
478,27018,3356,1,Around The World (Radio Edit),Musique Vol 1,Daft Punk,1996
485,27018,3518,3,Daft Punk Is Playing At My House,Daft Punk Is Playing At My House,LCD Soundsystem,2005
486,27018,3548,5,Easy Love,The Looks,MSTRKRFT,2006
492,27018,3655,4,All Of The Champs That Ever Lived,One Ten Hundred Thousand Million,Octopus Project,2005
503,27018,4152,2,The Scientist,The Scientist,Coldplay,2002
510,27018,4298,2,On Repeat,LCD Soundsystem,LCD Soundsystem,2005
517,27018,4377,1,Psychotic Girl,Attack & Release,The Black Keys,2004
520,27018,4510,3,Let´s Buy Happiness,Oi Oi oi REMIXED,Boys Noize,2008
521,27018,4522,2,Sparks,Parachutes,Coldplay,2000
522,27018,4545,1,I'll Be Your Man,The Big Come Up,The Black Keys,2002
527,27018,4653,3,Valentine,Justice,Justice,0
533,27018,4724,5,Tortured Soul,Skream!,Skream,2006
539,27018,4954,5,The Maestro,Check Your Head,Beastie Boys,1992
543,27018,5023,2,In My Place,A Rush Of Blood To The Head,Coldplay,2001
551,27018,5158,3,Thriller,The Essential Michael Jackson,Michael Jackson,1982
553,27018,5223,5,Get Innocuous!,Sound Of Silver,LCD Soundsystem,2007
555,27018,5248,2,Someone Great,Someone Great,LCD Soundsystem,2007
557,27018,5305,3,Phantom,Phantom,Justice,0
558,27018,5345,5,Colourful,Skins,Skream,2006
559,27018,5417,5,Thrills,LCD Soundsystem,LCD Soundsystem,2005
562,27018,5457,3,Clock,Clock EP,Simian Mobile Disco,2007
575,27018,5877,2,Lost!,Viva La Vida Or Death And All His Friends,Coldplay,2008
581,27018,6079,1,Smile (Explicit Version),Alright_ Still,Lily Allen,2007
583,27018,6121,1,In Person,Doll Domination 3.0,The Pussycat Dolls,2008
584,27018,6148,4,Music Is Happiness,One Ten Hundred Thousand Million,Octopus Project,2005
590,27018,6191,1,Recycled Air (Album),Give Up,Postal Service,2003
594,27018,6232,1,& Down,Oi Oi oi REMIXED,Boys Noize,2007
596,27018,6293,2,Yellow,Yellow,Coldplay,2000
599,27018,6350,1,Every Lasting Light,Brothers,The Black Keys,2010
606,27018,6500,3,Losing My Edge,LCD Soundsystem,LCD Soundsystem,2000
611,27018,6572,1,Something About Us,Discovery,Daft Punk,2001
613,27018,6618,1,Meteor,Ray Guns Are Not Just The Future,the bird and the bee,2009
615,27018,6636,1,Strange Times,Strange Times,The Black Keys,2008
618,27018,6709,2,Movement,LCD Soundsystem,LCD Soundsystem,2005
622,27018,6770,2,A Rush Of Blood To The Head,Six Feet Under - Everything Ends,Coldplay,2002
631,27018,6959,1,New York City Cops,Is This It,The Strokes,2001
632,27018,6964,1,Is This It,Is This It,The Strokes,2001
640,27018,7210,5,Fancy Footwork,Fancy Footwork,Chromeo,2007
647,27018,7331,2,Politik,A Rush Of Blood To The Head,Coldplay,2002
649,27018,7399,2,Shiver,Parachutes,Coldplay,2000
650,27018,7402,2,Moar Ghosts 'n' Stuff,Ghosts 'n' Stuff,Deadmau5,0
651,27018,7469,5,Six Feet Up,One Ten Hundred Thousand Million,Octopus Project,2005
663,27018,7721,2,Spies,Parachutes,Coldplay,2000
667,27018,7878,2,Don't Panic,Don't Panic,Coldplay,1999
669,27018,7977,2,Speed Of Sound,Speed Of Sound,Coldplay,2005
670,27018,8019,1,Gears,Gears,Future Rock,0
672,27018,8086,4,North American Scum,North American Scum,LCD Soundsystem,2007
678,27018,8247,1,Tighten Up,Tighten Up,The Black Keys,2010
679,27018,8265,3,Malaria Codes,One Ten Hundred Thousand Million,Octopus Project,2005
681,27018,8299,4,I GOT THIS DOWN,SAMPLE AND HOLD: Attack Decay Sustain Release REMIXED,Simian Mobile Disco,2007
692,27018,8434,1,Howlin For You,Brothers,The Black Keys,2010
698,27018,8612,2,Fix You,X & Y,Coldplay,2005
708,27018,8973,2,Safari,LP,Holy Fuck,2007
713,27018,9055,3,All My Friends,All My Friends,LCD Soundsystem,2007
716,27018,9099,1,We Are Your Friends (Reprise) (Album Version),A Cross The Universe,Justice,0
719,27018,9292,2,Lovely Allen,LP,Holy Fuck,2007
724,27018,9436,1,It's Christmas So We'll Stop (Choir Version),It's Christmas So We'll Stop,The Pretend It's December Choir,2007
725,27018,9447,5,Bonafied Lovin (Radio Edit),Bonafied Lovin,Chromeo,0
727,27018,9476,5,Don´t Believe The Hype,Oi Oi oi,Boys Noize,2007
734,27018,9702,2,Trouble,Trouble (B-Side),Coldplay,2000
735,27018,9771,1,Swing_ Swing,The All-American Rejects,The All-American Rejects,2003
750,27018,9989,2,Watch The Tapes,Sound Of Silver,LCD Soundsystem,2007
781,55837,1084,4,Electric Bloom,Antidotes,Foals,2008
831,55837,5367,1,Float On,Float On,Modest Mouse,2003
843,55837,7030,2,Tape Song,Midnight Boom,The Kills,2008
848,55837,7780,5,Home,Up From Below,Edward Sharpe & The Magnetic Zeros,2009
852,55837,8190,1,Phantom Limb (Album),Wincing The Night Away,The Shins,2007
902,56576,208,1,Uprising,Uprising,Muse,0
905,56576,334,1,Losing Touch,Day & Age,The Killers,2008
907,56576,352,4,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0
909,56576,605,1,Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,0
910,56576,674,1,Island In The Sun,Maladroit,Weezer,2001
911,56576,703,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007
913,56576,952,1,Bleed It Out [Live At Milton Keynes],Road To Revolution: Live At Milton Keynes,Linkin Park,2008
916,56576,1118,2,Clocks,A Rush Of Blood To The Head,Coldplay,2002
917,56576,1217,1,Whataya Want From Me,Whataya Want From Me,Adam Lambert,2009
918,56576,1286,5,Somebody To Love,My Worlds,Justin Bieber,2010
920,56576,1348,1,Mia,First Love,Emmy The Great,2007
923,56576,1767,1,Rehab,Hip Hop The Collection 2009,Rihanna,2007
924,56576,1818,1,Teenager,Modapop,Camera Obscura,0
932,56576,2210,2,Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,2005
933,56576,2220,2,Sehr kosmisch,Musik von Harmonia,Harmonia,0
936,56576,2672,1,A-Punk (Album),Vampire Weekend,Vampire Weekend,2007
938,56576,2850,1,Damn Girl,FutureSex/LoveSounds,Justin Timberlake;Justin Timberlake featuring will.i.am,2006
939,56576,2859,1,Kiss With A Fist,Wild Child OST,Florence + The Machine,2009
944,56576,3602,1,Superstition,Keep On Your Mean Side,The Kills,2003
945,56576,3658,1,Flume,For Emma_ Forever Ago,Bon Iver,2007
946,56576,3690,1,Manhattan,Only By The Night,Kings Of Leon,2008
947,56576,3718,1,The Penalty,The Flying Club Cup,Beirut,2007
948,56576,3770,1,Me & Mr Jones,Me & Mr Jones,Amy Winehouse,2006
950,56576,3870,1,Ain't No Rest For The Wicked (Original Version),Cage The Elephant,Cage The Elephant,2008
952,56576,4152,2,The Scientist,The Scientist,Coldplay,2002
954,56576,4273,1,Somebody Told Me,Hot Fuss,The Killers,2004
956,56576,4448,2,Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2009
962,56576,5115,1,Ghost At The Foot Of The Bed,Hell Train,Soltero,0
965,56576,5367,4,Float On,Float On,Modest Mouse,2003
966,56576,5398,1,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,The Rolling Stones,0
967,56576,5570,1,Say It Ain't So,Weezer,Weezer,1994
968,56576,5757,1,My Paper Heart,Summerland,The All-American Rejects,2003
969,56576,5901,1,I Will Follow You into the Dark (Album Version),Plans,Death Cab for Cutie,2005
970,56576,6189,1,Creep (Explicit),Pablo Honey,Radiohead,1993
973,56576,6726,1,If I Ain't Got You,R&B Love Collection 08,Alicia Keys,2003
974,56576,6798,1,Cousins,Contra,Vampire Weekend,2009
978,56576,7103,5,Alejandro,The Fame Monster,Lady GaGa,2009
982,56576,7416,2,Revelry,Only By The Night,Kings Of Leon,2008
983,56576,7636,1,Skinny Love,For Emma_ Forever Ago,Bon Iver,2007
986,56576,7780,3,Home,Up From Below,Edward Sharpe & The Magnetic Zeros,2009
987,56576,7791,1,Marry Me,Save Me_ San Francisco,Train,2009
988,56576,7796,1,Love Story,Het Beste Uit De Top 40 - 2009,Taylor Swift,2008
990,56576,7911,1,Heartbreak Warfare,Battle Studies,John Mayer,0
991,56576,7980,1,The Climb,Hannah Montana The Movie,Miley Cyrus,2009
992,56576,8034,1,Paper Planes,Decent Work For Decent Pay,M.I.A.,0
994,56576,8138,1,Drop The World,Drop The World,Lil Wayne / Eminem,0
998,56576,8481,2,Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,2009
1000,56576,8582,3,Use Somebody,Use Somebody,Kings Of Leon,2008
1002,56576,8599,1,The French Open,Antidotes,Foals,2007
1003,56576,8612,2,Fix You,X & Y,Coldplay,2005
1006,56576,8762,3,Time To Pretend,Time To Pretend,MGMT,2005
1007,56576,8772,1,When I Grow Up,When I Grow Up,The Pussycat Dolls,2008
1010,56576,9095,1,Joe's Head,Youth And Young Manhood,Kings Of Leon,2003
1011,56576,9162,3,Electric Feel,The Anthems,MGMT,2007
1012,56576,9186,1,Bitter Sweet Symphony,Bitter Sweet Symphony,The Verve,1997
1013,56576,9487,1,Heads Will Roll,It's Blitz!,Yeah Yeah Yeahs,2009
1016,56576,9676,1,Ragoo,Because Of The Times,Kings Of Leon,2007
1017,56576,9702,1,Trouble,Trouble (B-Side),Coldplay,2000
1018,56576,9771,1,Swing_ Swing,The All-American Rejects,The All-American Rejects,2003
1019,56576,9847,1,He Can Only Hold Her,Back To Black,Amy Winehouse,2006
1175,49549,52,3,Halo,Halo,Beyoncé,2008
1176,49549,97,3,Harder Better Faster Stronger,Discovery,Daft Punk,2007
1178,49549,208,3,Uprising,Uprising,Muse,0
1179,49549,310,2,Seven Nation Army,Seven Nation Army,The White Stripes,2003
1182,49549,396,3,Imma Be,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2009
1183,49549,605,3,Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat,0
1184,49549,630,2,'Till I Collapse,The Eminem Show,Eminem / Nate Dogg,2002
1188,49549,703,3,They Might Follow You,Tiny Vipers,Tiny Vipers,2007
1189,49549,733,1,Naturally,Kiss & Tell,Selena Gomez & The Scene,2009
1190,49549,916,2,Enter Sandman,Metallica,Metallica,1991
1193,49549,1161,3,My Happy Ending,Under My Skin,Avril Lavigne,2004
1194,49549,1217,4,Whataya Want From Me,Whataya Want From Me,Adam Lambert,2009
1196,49549,1248,5,American Idiot [feat. Green Day & The Cast Of American Idiot] (Album Version),The Original Broadway Cast Recording 'American Idiot' Featuring Green Day,Green Day,0
1197,49549,1281,3,Day 'N' Nite,R&B Yearbook,Kid Cudi Vs Crookers,2008
1198,49549,1286,4,Somebody To Love,My Worlds,Justin Bieber,2010
1200,49549,1348,2,Mia,First Love,Emmy The Great,2007
1201,49549,1354,3,Breakeven,Now That's What I Call Music! 72,The Script,2008
1202,49549,1407,3,One Time,One Time,Justin Bieber,2009
1203,49549,1597,3,Hotel California,Hotel California / Pretty Maids All In A Row [Digital 45],Eagles,1976
1204,49549,1691,3,Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection,Shakira Featuring Wyclef Jean,0
1206,49549,1816,3,The Funeral (Album Version),The Road Mix: Music From The Television Series One Tree Hill Vol. 3,Band Of Horses,0
1207,49549,1828,1,Times Like These,On And On,Jack Johnson,2003
1208,49549,1948,4,Monster,The Fame Monster,Lady GaGa,2009
1209,49549,2091,3,Just Dance,Just Dance,Lady GaGa / Colby O'Donis,2008
1210,49549,2098,5,Down To Earth,My World,Justin Bieber,2009
1212,49549,2210,3,Hey There Delilah,Now That's What I Call Music! 68,Plain White T's,2005
1214,49549,2276,2,Far Away (Album Version),All The Right Reasons,Nickelback,2006
1215,49549,2403,3,U Smile,My Worlds,Justin Bieber,2010
1216,49549,2610,3,Livin' On A Prayer,Cross Road,Bon Jovi,1986
1217,49549,2616,3,Gives You Hell,When The World Comes Down,The All-American Rejects,2008
1218,49549,2657,3,Eenie Meenie,Eenie Meenie,Sean Kingston and Justin Bieber,0
1219,49549,2672,3,A-Punk (Album),Vampire Weekend,Vampire Weekend,2007
1220,49549,2686,3,Vanilla Twilight,Ocean Eyes,Owl City,2009
1221,49549,2734,5,Love Me,My Worlds,Justin Bieber,2009
1222,49549,2842,4,Superman,The Eminem Show,Eminem / Dina Rae,2003
1223,49549,2926,2,Karma Police,OK Computer (Collector's Edition),Radiohead,1997
1224,49549,3165,3,Mockingbird,R&B 2006,Eminem,2004
1225,49549,3181,3,Te Amo,Rated R,Rihanna,2009
1226,49549,3207,3,Black,Ten,Pearl Jam,1991
1227,49549,3241,3,That Should Be Me,My Worlds,Justin Bieber,2010
1228,49549,3310,2,Yeah!,Confessions,Usher Featuring Lil' Jon & Ludacris,2007
1229,49549,3346,1,I'm Not Calling You A Liar,Lungs,Florence + The Machine,2009
1230,49549,3462,3,If I Had You,For Your Entertainment (Deluxe Version),Adam Lambert,2009
1231,49549,3567,3,Supermassive Black Hole (Twilight Soundtrack Version),Music From The Original Motion Picture Soundtrack,Muse,0
1234,49549,3870,3,Ain't No Rest For The Wicked (Original Version),Cage The Elephant,Cage The Elephant,2008
1236,49549,4160,3,How You Remind Me,FETENHITS - New Party Rock (set),Nickelback,2000
1237,49549,4192,3,The Real Slim Shady,Curtain Call,Eminem,2000
1239,49549,4270,1,Don't Stop The Music,Don't Stop The Music/ Remixes,Rihanna,2007
1240,49549,4284,3,The Only Exception (Album Version),The Only Exception,Paramore,0
1241,49549,4289,1,Do You Remember,In Between Dreams,Jack Johnson,2005
1242,49549,4448,4,Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke,2009
1243,49549,4554,3,Kryptonite,Total 90s,3 Doors Down,1997
1244,49549,4636,3,Sample Track 2,Dance & Hip Hop Breaks,Simon Harris,0
1245,49549,4639,3,Bulletproof,Bulletproof,La Roux,2009
1246,49549,4719,3,One Step Closer (Album Version),Hybrid Theory,Linkin Park,2000
1247,49549,4727,3,All The Right Moves,Waking Up,OneRepublic,2009
1249,49549,5138,3,What Goes Around...Comes Around,What Goes Around... Comes Around,Justin Timberlake,2007
1250,49549,5221,3,What You Know,Tourist History,Two Door Cinema Club,2010
1251,49549,5272,3,Sexy Bitch,Club Traxxx Summer Slammin'_ Vol. 3,DJ Dizzy,2009
1252,49549,5291,3,Bring Me To Life,Fallen,Evanescence,2003
1254,49549,5367,3,Float On,Float On,Modest Mouse,2003
1255,49549,5375,3,I Kissed A Girl,One Of The Boys (iTunes Exclusive),Katy Perry,2008
1258,49549,5697,3,Here Without You,Here Without You,3 Doors Down,2002
1259,49549,5728,4,My Name Is,The Slim Shady LP,Eminem,1999
1260,49549,5879,1,Rabbit Heart (Raise It Up),Rabbit Heart EP,Florence + The Machine,2009
1261,49549,5901,3,I Will Follow You into the Dark (Album Version),Plans,Death Cab for Cutie,2005
1262,49549,5943,5,You've Got The Love,Lungs,Florence + The Machine,2009
1263,49549,5978,2,Hailie's Song,The Eminem Show,Eminem,2002
1264,49549,6175,3,Pursuit Of Happiness (nightmare),Pursuit Of Happiness,Kid Cudi / MGMT / Ratatat,2010
1265,49549,6189,5,Creep (Explicit),Pablo Honey,Radiohead,1993
1266,49549,6201,1,I'm On A Boat,Incredibad,The Lonely Island / T-Pain,2009
1270,49549,6451,1,Paradise City,Greatest Hits,Guns N' Roses,1987
1272,49549,6525,2,The Pretender,Echoes_ Silence_ Patience & Grace,Foo Fighters,2007
1273,49549,6682,3,Take A Bow,Ultimate R&B Love 2009,Rihanna,2008
1274,49549,6726,2,If I Ain't Got You,R&B Love Collection 08,Alicia Keys,2003
1275,49549,6735,2,If It Means A Lot To You,Homesick [Special Edition],A Day To Remember,2009
1277,49549,7028,3,The Middle,Bleed American,Jimmy Eat World,2001
1278,49549,7103,3,Alejandro,The Fame Monster,Lady GaGa,2009
1279,49549,7321,2,Bubble Toes,Brushfire Fairytales,Jack Johnson,2000
1280,49549,7338,4,Killing In The Name,Rage Against The Machine / Evil Empire (Coffret 2 CD),Rage Against The Machine,1991
1281,49549,7343,3,You Belong With Me,Fearless,Taylor Swift,2008
1282,49549,7399,3,Shiver,Parachutes,Coldplay,2000
1284,49549,7470,3,Stuck In The Moment,My Worlds,Justin Bieber,2010
1285,49549,7522,2,Forever,Relapse: Refill,Drake / Kanye West / Lil Wayne / Eminem,0
1286,49549,7636,2,Skinny Love,For Emma_ Forever Ago,Bon Iver,2007
1288,49549,7780,3,Home,Up From Below,Edward Sharpe & The Magnetic Zeros,2009
1291,49549,7911,3,Heartbreak Warfare,Battle Studies,John Mayer,0
1292,49549,7921,1,Never Let You Go,My Worlds,Justin Bieber,2010
1294,49549,7977,1,Speed Of Sound,Speed Of Sound,Coldplay,2005
1295,49549,7998,3,Nothin' On You [feat. Bruno Mars] (Album Version),Nothin' On You [feat. Bruno Mars],B.o.B,0
1296,49549,8034,2,Paper Planes,Decent Work For Decent Pay,M.I.A.,0
1297,49549,8092,3,OMG,OMG - The Remixes,Usher featuring will.i.am,2010
1298,49549,8099,3,Toxic,The Singles Collection,Britney Spears,2003
1299,49549,8138,3,Drop The World,Drop The World,Lil Wayne / Eminem,0
1301,49549,8247,3,Tighten Up,Tighten Up,The Black Keys,2010
1302,49549,8434,2,Howlin For You,Brothers,The Black Keys,2010
1303,49549,8481,1,Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus,2009
1304,49549,8577,3,One Less Lonely Girl,My Worlds,Justin Bieber,2009
1305,49549,8582,4,Use Somebody,Use Somebody,Kings Of Leon,2008
1307,49549,8654,3,Without Me,Without Me,Eminem,2002
1308,49549,8698,3,Whatcha Say,Whatcha Say,Jason Derulo,2009
1309,49549,8762,3,Time To Pretend,Time To Pretend,MGMT,2005
1310,49549,8772,1,When I Grow Up,When I Grow Up,The Pussycat Dolls,2008
1311,49549,8949,3,Resistance,The Resistance,Muse,0
1313,49549,9019,3,I Gotta Feeling,Todo Éxitos 2009,Black Eyed Peas,2009
1314,49549,9139,3,Half Of My Heart,Battle Studies,John Mayer,0
1315,49549,9162,3,Electric Feel,The Anthems,MGMT,2007
1317,49549,9186,3,Bitter Sweet Symphony,Bitter Sweet Symphony,The Verve,1997
1318,49549,9262,3,Cosmic Love,Lungs,Florence + The Machine,2009
1319,49549,9386,2,Hero,Greatest Hits,Enrique Iglesias,2001
1320,49549,9387,3,Bad Company,War Is The Answer,Five Finger Death Punch,2009
1321,49549,9391,1,All I Do Is Win (feat. T-Pain_ Ludacris_ Snoop Dogg & Rick Ross),Victory,DJ Khaled,2010
1323,49549,9487,2,Heads Will Roll,It's Blitz!,Yeah Yeah Yeahs,2009
1324,49549,9724,2,One,...And Justice For All,Metallica,1988
1326,49549,9931,3,When You Were Young,When You  Were Young,The Killers,2006
2012,34234,62,1,You And Me Jesus,Tribute To Jake Hess,Jake Hess,2004
2016,34234,317,1,Undo,Vespertine Live,Björk,2001
2017,34234,334,1,Losing Touch,Day & Age,The Killers,2008
2019,34234,352,1,Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine,0
2024,34234,693,1,Us V Them,Sound Of Silver,LCD Soundsystem,2007
2028,34234,809,1,Don't Leave Me,The All-American Rejects,The All-American Rejects,2001
2042,34234,2115,2,Tive Sim,Nova Bis-Cartola,Cartola,1974
2044,34234,2220,1,Sehr kosmisch,Musik von Harmonia,Harmonia,0
2053,34234,2898,1,Twilight Galaxy,Fantasies,Metric,2009
2061,34234,3602,1,Superstition,Keep On Your Mean Side,The Kills,2003
2068,34234,4327,1,Black Mission Goggles,Six Demon Bag,Man Man,2006
2072,34234,4564,1,Lost,One Of The Boys,Katy Perry,2007
2082,34234,4831,3,Heaven Must Be Missing An Angel,Capitol Gold: The Best Of Tavares,Tavares,1979
2089,34234,5193,1,Goodnight Bad Morning,Midnight Boom,The Kills,2008
2090,34234,5223,1,Get Innocuous!,Sound Of Silver,LCD Soundsystem,2007
2099,34234,6042,1,The Runner,Because Of The Times,Kings Of Leon,2007
2100,34234,6089,1,We Don't Stop (Explicit),My Balls And My Word (Explicit),Young Bleed,0
2101,34234,6121,1,In Person,Doll Domination 3.0,The Pussycat Dolls,2008
2111,34234,6684,1,Spaceman,Spaceman,The Killers,2008
2115,34234,7295,1,This Is Your Life,Day & Age,The Killers,2008
2116,34234,7321,1,Bubble Toes,Brushfire Fairytales,Jack Johnson,2000
2118,34234,7416,1,Revelry,Only By The Night,Kings Of Leon,2008
2119,34234,7444,5,Teenage Crush,50 Rock 'N' Roll Worlwide Number Ones,Tommy Sands,1996
2122,34234,7682,5,I'm Sleeping In A Submarine,EP,Arcade Fire,2003
2131,34234,7917,1,If Looks Could Kill,Let's Get Out Of This Country,Camera Obscura,0
2138,34234,8224,1,Your Star,The All American Rejects,The All-American Rejects,2003
2139,34234,8252,1,Ain't Misbehavin,Summertime,Sam Cooke,0
2712,54439,591,2,Keep The Car Running,Neon Bible,Arcade Fire,2007
2716,54439,703,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007
2717,54439,731,1,Last Day Of Our Love,One Too Many Hearts,the bird and the bee,2008
2720,54439,1044,1,Campus (Album),Vampire Weekend,Vampire Weekend,2007
2729,54439,2514,1,Big Big Love (Fig .2),Antidotes,Foals,2008
2747,54439,4298,2,On Repeat,LCD Soundsystem,LCD Soundsystem,2005
2754,54439,5223,1,Get Innocuous!,Sound Of Silver,LCD Soundsystem,2007
2757,54439,5826,3,Great Release,LCD Soundsystem,LCD Soundsystem,2005
2760,54439,5916,1,Cape Cod Kwassa Kwassa (Album),Vampire Weekend,Vampire Weekend,2007
2766,54439,6709,1,Movement,LCD Soundsystem,LCD Soundsystem,2005
2768,54439,6878,1,Ready For The Floor (Album Version),Best Of The Bands,Hot Chip,2007
2783,54439,7917,2,If Looks Could Kill,Let's Get Out Of This Country,Camera Obscura,0
2784,54439,8086,1,North American Scum,North American Scum,LCD Soundsystem,2007
2796,54439,9055,4,All My Friends,All My Friends,LCD Soundsystem,2007
3032,44689,211,1,Step Through The Door,Hell Train,Soltero,0
3035,44689,447,1,Daisy And Prudence,Distillation,Erin McKeown,2000
3039,44689,703,1,They Might Follow You,Tiny Vipers,Tiny Vipers,2007
3040,44689,731,1,Last Day Of Our Love,One Too Many Hearts,the bird and the bee,2008
3048,44689,1752,1,Gimme Sympathy,Gimme Sympathy,Metric,2009
3049,44689,1756,1,You Mustn't Kick It Around,Distillation,Erin McKeown,2000
3050,44689,1765,4,Jigsaw Falling Into Place,In Rainbows,Radiohead,2007
3059,44689,2852,5,West One (Shine On Me),The Crack/Grin And Bear It,The Ruts,1980
3072,44689,4545,3,I'll Be Your Man,The Big Come Up,The Black Keys,2002
3078,44689,5115,1,Ghost At The Foot Of The Bed,Hell Train,Soltero,0
3086,44689,5823,1,We Are The Sleepyheads,The Life Pursuit,Belle & Sebastian,2006
3090,44689,6191,1,Recycled Air (Album),Give Up,Postal Service,2003
3098,44689,7075,1,From The Station,Hell Train,Soltero,0
3101,44689,7387,1,My Love,Ray Guns Are Not Just The Future,the bird and the bee,2009
